qid	docid	docno	query	document
E14	8080	552004809469865984	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجلي امن سعوديين على الحدود مع العراق http://t.co/srAfpSdL3b
E14	8984	552094328370520066	مقتل رجلي أمن سعوديين على حدود العراق	أ ش أ: استشهاد رجلي أمن سعوديين ومقتل إرهابيين على الحدود مع العراق #Egypt
E14	8372	552035542972776449	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجلي امن سعوديين على الحدود مع #العراق http://t.co/buU6DWZvVp via @aljadeednews #لبنان More on http://t.co/NVGLbJKlrz
E14	9055	552103916771770368	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجلي أمن سعوديين في هجوم قرب حدود مع العراق http://t.co/DP5fc3RYma
E14	8760	552067685614247939	مقتل رجلي أمن سعوديين على حدود العراق	#قطر مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هج... http://t.co/3P5y9rXLHv #العراق
E14	8756	552067644950454273	مقتل رجلي أمن سعوديين على حدود العراق	#قطر مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هج... http://t.co/jRwJDegN3G #العراق
E14	8758	552067661434077184	مقتل رجلي أمن سعوديين على حدود العراق	#قطر مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هج... http://t.co/q3dBUVWIOa #العراق
E14	8759	552067677288529921	مقتل رجلي أمن سعوديين على حدود العراق	#قطر مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هج... http://t.co/po4Kl1W7Sy #العراق
E14	8461	552049587288952832	مقتل رجلي أمن سعوديين على حدود العراق	#مصر مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هج... http://t.co/KQZ0X0TGLh #العراق
E14	8462	552049608457601024	مقتل رجلي أمن سعوديين على حدود العراق	#مصر مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هج... http://t.co/EIAvIIKamn #العراق
E14	8463	552049700845522944	مقتل رجلي أمن سعوديين على حدود العراق	#مصر مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هج... http://t.co/P5kTflHyoJ #العراق
E14	8533	552053877436985345	مقتل رجلي أمن سعوديين على حدود العراق	#العراق مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديي... http://t.co/po4Kl1W7Sy #الامارات
E14	8553	552054226243690496	مقتل رجلي أمن سعوديين على حدود العراق	#لبنان مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في ... http://t.co/3tluhlXpSc #العراق
E14	8554	552054255599620096	مقتل رجلي أمن سعوديين على حدود العراق	#لبنان مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في ... http://t.co/qekqsmd6TH #العراق
E14	8555	552054259726815232	مقتل رجلي أمن سعوديين على حدود العراق	#لبنان مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في ... http://t.co/pJdhjT9n61 #العراق
E14	8623	552057173807607808	مقتل رجلي أمن سعوديين على حدود العراق	#العراق مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ... http://t.co/KQZ0X0TGLh #Kuwait
E14	8822	552070932156534784	مقتل رجلي أمن سعوديين على حدود العراق	#Riyadh مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ب... http://t.co/qQ057xi7Ss #Dubai
E14	8821	552070919330336768	مقتل رجلي أمن سعوديين على حدود العراق	#Riyadh مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ب... http://t.co/nTfAlW12F1 #Dubai
E14	8814	552070542459543553	مقتل رجلي أمن سعوديين على حدود العراق	#Dubai مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجو... http://t.co/bGYWcb4kxm #AbduDhabi
E14	8824	552070961499877377	مقتل رجلي أمن سعوديين على حدود العراق	#Riyadh مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ب... http://t.co/ReTbezXrcr #Dubai
E14	8823	552070945435697152	مقتل رجلي أمن سعوديين على حدود العراق	#Riyadh مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ب... http://t.co/BOFaUosx2D #Dubai
E14	8813	552070512134746112	مقتل رجلي أمن سعوديين على حدود العراق	#Dubai مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجو... http://t.co/X8MWCILWCQ #AbduDhabi
E14	8796	552069484266008577	مقتل رجلي أمن سعوديين على حدود العراق	#Bagdad مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ب... http://t.co/KQZ0X0TGLh #Dubai
E14	8837	552071297153257472	مقتل رجلي أمن سعوديين على حدود العراق	#Morocco مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجو... http://t.co/e51wbqagzw #Algeria
E14	8833	552071145113923585	مقتل رجلي أمن سعوديين على حدود العراق	#Yemen مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم بمن... http://t.co/brmiKoctBx #Iran
E14	8840	552071486517673984	مقتل رجلي أمن سعوديين على حدود العراق	#Muscat مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ... http://t.co/2InCWczv4T #Riyadh
E14	8839	552071380204650496	مقتل رجلي أمن سعوديين على حدود العراق	#Palestine مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجو... http://t.co/2fUhyuVHdY #Cairo
E14	8841	552071495199911936	مقتل رجلي أمن سعوديين على حدود العراق	#Muscat مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ... http://t.co/txS29oa67O #Riyadh
E14	8845	552071544302600193	مقتل رجلي أمن سعوديين على حدود العراق	#Muscat مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ... http://t.co/359E9dIpxp #Riyadh
E14	8801	552069602818007041	مقتل رجلي أمن سعوديين على حدود العراق	#Bagdad مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ب... http://t.co/po4Kl1W7Sy #Dubai
E14	8844	552071536568311810	مقتل رجلي أمن سعوديين على حدود العراق	#Muscat مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ... http://t.co/aZs9757LK6 #Riyadh
E14	8842	552071520764170241	مقتل رجلي أمن سعوديين على حدود العراق	#Muscat مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ... http://t.co/vHt4Jw40qZ #Riyadh
E14	8843	552071528473309184	مقتل رجلي أمن سعوديين على حدود العراق	#Muscat مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ... http://t.co/4tP9xB6dUP #Riyadh
E14	8798	552069551509098496	مقتل رجلي أمن سعوديين على حدود العراق	#Bagdad مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ب... http://t.co/P5kTflHyoJ #Dubai
E14	8932	552086190816387072	مقتل رجلي أمن سعوديين على حدود العراق	#Eygpt مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم بمن... http://t.co/AaEbAKW10Z #Gaza
E14	8935	552086262585098240	مقتل رجلي أمن سعوديين على حدود العراق	#Eygpt مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم بمن... http://t.co/vTgiByRX6j #Gaza
E14	8472	552049964948275200	مقتل رجلي أمن سعوديين على حدود العراق	#Iraq مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ب... http://t.co/KQZ0X0TGLh #Bahrain
E14	8480	552050422383267840	مقتل رجلي أمن سعوديين على حدود العراق	#Ksa مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم بمن... http://t.co/vAjaEwKMpz #Kuwait
E14	8519	552053458463752193	مقتل رجلي أمن سعوديين على حدود العراق	#Bahrain مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم... http://t.co/6c818kFncs #Kuwait
E14	8520	552053467187920896	مقتل رجلي أمن سعوديين على حدود العراق	#Bahrain مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم... http://t.co/sf13ACPtMH #Kuwait
E14	8530	552053852443127809	مقتل رجلي أمن سعوديين على حدود العراق	#Bahrain مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم... http://t.co/QTcywOvk9y #Kuwait
E14	8531	552053870168252416	مقتل رجلي أمن سعوديين على حدود العراق	#Bahrain مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم... http://t.co/Y0zkKXchrk #Kuwait
E14	8532	552053873829883906	مقتل رجلي أمن سعوديين على حدود العراق	#Bahrain مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم... http://t.co/UmLQzyVXrO #Kuwait
E14	8535	552053970428915712	مقتل رجلي أمن سعوديين على حدود العراق	#Iraq مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم بمن... http://t.co/7iE6VL4kHg #Syria
E14	8536	552053999226990592	مقتل رجلي أمن سعوديين على حدود العراق	#Iraq مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم بمن... http://t.co/64g5zAyv97 #Syria
E14	8934	552086253064028162	مقتل رجلي أمن سعوديين على حدود العراق	#Eygpt مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم بمن... http://t.co/NIwsMsoz2N #Gaza
E14	8559	552054310427557888	مقتل رجلي أمن سعوديين على حدود العراق	#Qatar مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم بمن... http://t.co/359E9dIpxp #Oman
E14	8560	552054313892057088	مقتل رجلي أمن سعوديين على حدود العراق	#Qatar مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم بمن... http://t.co/KMCUFy0QpZ #Oman
E14	8561	552054317876670464	مقتل رجلي أمن سعوديين على حدود العراق	#Qatar مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم بمن... http://t.co/DsztzUI2HR #Oman
E14	8562	552054347194843136	مقتل رجلي أمن سعوديين على حدود العراق	#Dubai مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم... http://t.co/BdrZo08FDC #Abudhabi
E14	8564	552054436973907968	مقتل رجلي أمن سعوديين على حدود العراق	#Alain مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ب... http://t.co/FMgwYh4ZPE #Manama
E14	8566	552054452891299842	مقتل رجلي أمن سعوديين على حدود العراق	#Alain مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ب... http://t.co/0x1wB7zpN5 #Manama
E14	8567	552054460285853696	مقتل رجلي أمن سعوديين على حدود العراق	#Alain مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ب... http://t.co/HcE7dp9wyc #Manama
E14	8568	552054464446611457	مقتل رجلي أمن سعوديين على حدود العراق	#Alain مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ب... http://t.co/ytHyYxz2pV #Manama
E14	8936	552086271330242560	مقتل رجلي أمن سعوديين على حدود العراق	#Eygpt مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم بمن... http://t.co/RLI5QHEF3d #Gaza
E14	8689	552062430713348096	مقتل رجلي أمن سعوديين على حدود العراق	#Bahrain مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ب... http://t.co/8NgqPcadj5 #Iraq
E14	8690	552062450548219904	مقتل رجلي أمن سعوديين على حدود العراق	#Bahrain مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ب... http://t.co/Ravui8YDDH #Iraq
E14	8692	552062601455095810	مقتل رجلي أمن سعوديين على حدود العراق	#Kuwait مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ب... http://t.co/62cgEhGCOR #Syria
E14	8079	552004586957844480	مقتل رجلي أمن سعوديين على حدود العراق	#بوابة_الشرق | عاجل.. مقتل رجلي أمن سعوديين على الحدود مع العراق http://t.co/mgXhRijdZq
E14	8100	552007497507037186	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجلى أمن سعوديين فى هجوم إرهابى على الحدود مع العراق http://t.co/hH0LE2VWbE
E14	8155	552013448784384000	مقتل رجلي أمن سعوديين على حدود العراق	"مقتل رجلي أمن سعوديين على الحدود الشمالية مع العراق في هجوم ""إرهابي"" http://t.co/YD1NEvzbyt"
E14	8172	552015587694505984	مقتل رجلي أمن سعوديين على حدود العراق	"مقتل رجلي أمن سعوديين على الحدود الشمالية مع العراق في هجوم ""إرهابي"" http://t.co/H7hrvXLfLm"
E14	8319	552030231863648258	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجلى أمن سعوديين فى هجوم إرهابى على الحدود مع العراق http://t.co/Ns2bE6p5UZ http://t.co/egwFKfZEda
E14	8396	552039811586879488	مقتل رجلي أمن سعوديين على حدود العراق	"مقتل رجلي أمن سعوديين على الحدود الشمالية مع العراق في هجوم ""إرهابي"" http://t.co/vNK6IZg02H via @France24_ar"
E14	8709	552063541662855168	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجلي أمن سعوديين على الحدود الشمالية مع العراق في هجوم “إرهابي” http://t.co/8ZtuNUA15v
E14	9079	552109209006116866	مقتل رجلي أمن سعوديين على حدود العراق	"مقتل رجلي أمن سعوديين على الحدود الشمالية مع العراق في هجوم ""إرهابي"". http://t.co/4XjyyvLMEt http://t.co/i2m4PwUkZQ"
E14	9735	552260255925534720	مقتل رجلي أمن سعوديين على حدود العراق	"مقتل رجلي أمن سعوديين بهجوم قرب حدود العراق: قتل رجلا أمن سعوديان وأصيب ثالث في هجوم ""إرهابي"" بمنطقة الحدود ... http://t.co/a6Q5SWlRL5"
E14	8268	552023355247710209	مقتل رجلي أمن سعوديين على حدود العراق	"مقتل رجلي أمن سعوديين بهجوم قرب حدود العراق: قتل رجلا أمن سعوديان وأصيب ثالث في هجوم ""إرهابي"" بمنطقة الحدود ... http://t.co/7X5SjhAjzF"
E14	8805	552070331834183680	مقتل رجلي أمن سعوديين على حدود العراق	#السعودية مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين ... http://t.co/hJYWqMriDQ #الكويت
E14	8771	552067954452353024	مقتل رجلي أمن سعوديين على حدود العراق	#مصر مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في ... http://t.co/q3dBUVWIOa #السودان
E14	8931	552086128455471104	مقتل رجلي أمن سعوديين على حدود العراق	#السعودية مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين ... http://t.co/X0sLePC02b #الرياض
E14	8792	552069060981035008	مقتل رجلي أمن سعوديين على حدود العراق	#الفلوجة مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين ف... http://t.co/KQZ0X0TGLh #الموصل
E14	8772	552067962098552833	مقتل رجلي أمن سعوديين على حدود العراق	#مصر مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في ... http://t.co/po4Kl1W7Sy #السودان
E14	8788	552068742905999362	مقتل رجلي أمن سعوديين على حدود العراق	#بغداد مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في ... http://t.co/3P5y9rXLHv #كربلاء
E14	8827	552070995859623936	مقتل رجلي أمن سعوديين على حدود العراق	#كربلاء مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين ... http://t.co/6Jd3zAL5qx #المنامة
E14	8826	552070990801293312	مقتل رجلي أمن سعوديين على حدود العراق	#كربلاء مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين ... http://t.co/RT8wNSw06N #المنامة
E14	8787	552068684806508544	مقتل رجلي أمن سعوديين على حدود العراق	#بغداد مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في ... http://t.co/P5kTflHyoJ #كربلاء
E14	8748	552067451161042944	مقتل رجلي أمن سعوديين على حدود العراق	#البحرين مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين ف... http://t.co/z0REr870cb #الكويت
E14	8829	552071024779350016	مقتل رجلي أمن سعوديين على حدود العراق	#كربلاء مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين ... http://t.co/nZdcC9Rfjx #المنامة
